scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,3143.3,0
1,-0.032,-0.128,4702.2,0
2,-0.016,-0.128,4702.7,0
3,0.000,-0.128,4702.7,0
4,0.016,-0.128,4702.7,0
5,0.032,-0.128,4702.7,0
6,0.048,-0.128,4702.7,0
7,0.080,-0.112,7346.9,1
8,0.064,-0.112,4581.4,0
9,0.048,-0.112,4582.5,0
10,0.032,-0.112,4582.5,0
11,0.016,-0.112,4582.5,0
12,0.000,-0.112,4582.5,0
13,-0.016,-0.112,4582.5,0
14,-0.032,-0.112,4582.5,0
15,-0.048,-0.112,4582.5,0
16,-0.064,-0.112,4702.7,0
17,-0.080,-0.112,4702.7,0
18,-0.096,-0.096,3146.0,0
19,-0.080,-0.096,4702.9,0
20,-0.064,-0.096,4702.7,0
21,-0.048,-0.096,4702.7,0
22,-0.032,-0.096,4702.7,0
23,-0.016,-0.096,4702.7,0
24,0.000,-0.096,4702.7,0
25,0.016,-0.096,4702.7,0
26,0.032,-0.096,4702.7,0
27,0.048,-0.096,4702.7,0
28,0.064,-0.096,4702.7,0
29,0.080,-0.096,4702.7,0
30,0.096,-0.096,4702.7,0
31,0.112,-0.080,7448.7,1
32,0.096,-0.080,4702.6,0
33,0.080,-0.080,4702.7,0
34,0.064,-0.080,4702.7,0
35,0.048,-0.080,4702.7,0
36,0.032,-0.080,4702.7,0
37,0.016,-0.080,4702.7,0
38,0.000,-0.080,4702.7,0
39,-0.016,-0.080,4702.7,0
40,-0.032,-0.080,4702.7,0
41,-0.048,-0.080,4702.7,0
42,-0.064,-0.080,4702.7,0
43,-0.080,-0.080,4702.7,0
44,-0.096,-0.080,4702.7,0
45,-0.112,-0.080,4702.7,0
46,-0.112,-0.064,3146.0,0
47,-0.096,-0.064,4702.9,0
48,-0.080,-0.064,4702.7,0
49,-0.064,-0.064,4702.7,0
50,-0.048,-0.064,4702.7,0
51,-0.032,-0.064,4702.7,0
52,-0.016,-0.064,4702.7,0
53,0.000,-0.064,4702.7,0
54,0.016,-0.064,4702.7,0
55,0.032,-0.064,4702.7,0
56,0.048,-0.064,4702.7,0
57,0.064,-0.064,4702.7,0
58,0.080,-0.064,4702.7,0
59,0.096,-0.064,4702.7,0
60,0.112,-0.064,4702.7,0
61,0.128,-0.048,7448.7,1
62,0.112,-0.048,4702.6,0
63,0.096,-0.048,4702.7,0
64,0.080,-0.048,4702.7,0
65,0.064,-0.048,4702.7,0
66,0.048,-0.048,4702.7,0
67,0.032,-0.048,4702.7,0
68,0.016,-0.048,4702.7,0
69,0.000,-0.048,4702.7,0
70,-0.016,-0.048,4702.7,0
71,-0.032,-0.048,4702.7,0
72,-0.048,-0.048,4702.7,0
73,-0.064,-0.048,4702.7,0
74,-0.080,-0.048,4702.7,0
75,-0.096,-0.048,4702.7,0
76,-0.112,-0.048,4702.7,0
77,-0.128,-0.048,4702.7,0
78,-0.128,-0.032,3146.0,0
79,-0.112,-0.032,4702.9,0
80,-0.096,-0.032,4702.7,0
81,-0.080,-0.032,4702.7,0
82,-0.064,-0.032,4702.7,0
83,-0.048,-0.032,4702.7,0
84,-0.032,-0.032,4702.7,0
85,-0.016,-0.032,4702.7,0
86,0.000,-0.032,4702.7,0
87,0.016,-0.032,4702.7,0
88,0.032,-0.032,4702.7,0
89,0.048,-0.032,4702.7,0
90,0.064,-0.032,4702.7,0
91,0.080,-0.032,4702.7,0
92,0.096,-0.032,4702.7,0
93,0.112,-0.032,4702.7,0
94,0.128,-0.032,4702.7,0
95,0.128,-0.016,7448.7,1
96,0.112,-0.016,4702.6,0
97,0.096,-0.016,4702.7,0
98,0.080,-0.016,4702.7,0
99,0.064,-0.016,4702.7,0
100,0.048,-0.016,4702.7,0
101,0.032,-0.016,4702.7,0
102,0.016,-0.016,4702.7,0
103,0.000,-0.016,4702.7,0
104,-0.016,-0.016,4702.7,0
105,-0.032,-0.016,4702.7,0
106,-0.048,-0.016,4702.7,0
107,-0.064,-0.016,4702.7,0
108,-0.080,-0.016,4702.7,0
109,-0.096,-0.016,4702.7,0
110,-0.112,-0.016,4702.7,0
111,-0.128,-0.016,4702.7,0
112,-0.128,0.000,3146.0,0
113,-0.112,0.000,4702.9,0
114,-0.096,0.000,4702.7,0
115,-0.080,0.000,4702.7,0
116,-0.064,0.000,4702.7,0
117,-0.048,0.000,4702.7,0
118,-0.032,0.000,4702.7,0
119,-0.016,0.000,4702.7,0
120,0.000,0.000,4702.7,0
121,0.016,0.000,4702.7,0
122,0.032,0.000,4702.7,0
123,0.048,0.000,4702.7,0
124,0.064,0.000,4702.7,0
125,0.080,0.000,4702.7,0
126,0.096,0.000,4702.7,0
127,0.112,0.000,4702.7,0
128,0.128,0.000,4702.7,0
